Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/cves/?page_size=10&keyword=remote,19,0,15,15.958603105278407,6.4462089999324235,33.209666999937326,4898.0,0.3211527926587099,0.0,15,19,19,19,20,33,33,33,33,33,33
GET,/api/dashboard,52,0,30,30.929226788447732,15.623875000073895,83.17429199996695,21577.0,0.878944485171206,0.0,30,33,34,35,37,42,44,83,83,83,83
GET,/api/patches/decisions?delay_days=0,8,0,31,32.61056262505235,23.277499999949214,54.745625000123255,2836.5,0.13522222848787785,0.0,31,32,33,33,55,55,55,55,55,55,55
GET,/api/patches/decisions?delay_days=14,3,0,30,27.62613866677081,20.309125000039785,32.25474999999278,2942.6666666666665,0.05070833568295419,0.0,30,30,32,32,32,32,32,32,32,32,32
GET,/api/patches/decisions?delay_days=30,3,0,26,26.702597333345086,21.950249999918015,32.047624999904656,2979.3333333333335,0.05070833568295419,0.0,26,26,32,32,32,32,32,32,32,32,32
GET,/api/patches/decisions?delay_days=7,5,0,26,26.25776680006311,12.204083000142418,40.01145800020822,2809.4,0.08451389280492366,0.0,26,29,29,40,40,40,40,40,40,40,40
GET,/api/patches/priorities?limit=10&delay_days=0,11,0,26,26.099852454618404,14.286042000094312,31.531791999896086,2775.909090909091,0.18593056417083206,0.0,26,29,29,29,31,32,32,32,32,32,32
GET,/api/patches/priorities?limit=10&delay_days=14,9,0,29,28.702291777739852,13.431459000003088,52.13699999967503,2885.5555555555557,0.1521250070488626,0.0,29,30,30,33,52,52,52,52,52,52,52
GET,/api/patches/priorities?limit=10&delay_days=30,7,0,28,29.20717271425539,24.17195799989713,34.166333000030136,2922.285714285714,0.11831944992689312,0.0,28,32,34,34,34,34,34,34,34,34,34
GET,/api/patches/priorities?limit=10&delay_days=7,13,0,27,27.14297738461587,13.265000000046712,39.162832999863895,2752.076923076923,0.2197361212928015,0.0,27,28,29,31,32,39,39,39,39,39,39
GET,/api/risk/summary,22,0,13,12.564998000057544,5.254916000012599,16.73762500013254,237.0,0.3718611283416641,0.0,13,14,15,15,15,15,17,17,17,17,17
,Aggregated,152,0,26,25.301649138172206,5.254916000012599,83.17429199996695,9128.440789473685,2.569222341269679,0.0,26,30,32,32,35,39,44,55,83,83,83
